SKU,f_GHz,lanes,cache_factor,I_FLOPsPerByte,Compute_PF,Roof_PF,Realized_PF,Power_lin_W,Power_sq_W,PerfW_lin_TF/W,PerfW_sq_TF/W
V1-D_DDR,0.5,2,2.5,512,0.96468992,0.5767168000000001,0.5767168000000001,227.5,166.25,2.5350189010989017,3.4689732330827074
V1-D_DDR,0.5,2,2.5,1024,0.96468992,1.1534336000000003,0.96468992,227.5,166.25,4.240395252747253,5.802646135338346
V1-D_DDR,0.5,2,2.5,2048,0.96468992,2.3068672000000006,0.96468992,227.5,166.25,4.240395252747253,5.802646135338346
V1-D_DDR,0.5,1,3.0,64,0.48234496,0.08650752000000002,0.08650752000000002,227.5,166.25,0.3802528351648352,0.5203459849624061
V1-D_DDR,0.5,1,3.0,256,0.48234496,0.3460300800000001,0.3460300800000001,227.5,166.25,1.5210113406593408,2.0813839398496246
V1-D_DDR,0.5,1,3.0,512,0.48234496,0.6920601600000001,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,1,3.0,1024,0.48234496,1.3841203200000003,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,1,3.0,2048,0.48234496,2.7682406400000006,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,2,3.0,64,0.96468992,0.08650752000000002,0.08650752000000002,227.5,166.25,0.3802528351648352,0.5203459849624061
V1-D_DDR,0.5,2,3.0,256,0.96468992,0.3460300800000001,0.3460300800000001,227.5,166.25,1.5210113406593408,2.0813839398496246
V1-D_DDR,0.5,2,3.0,512,0.96468992,0.6920601600000001,0.6920601600000001,227.5,166.25,3.0420226813186817,4.162767879699249
V1-D_DDR,0.5,2,3.0,1024,0.96468992,1.3841203200000003,0.96468992,227.5,166.25,4.240395252747253,5.802646135338346
V1-D_DDR,0.5,2,3.0,2048,0.96468992,2.7682406400000006,0.96468992,227.5,166.25,4.240395252747253,5.802646135338346
